crsp_fundno,caldt,dnav,dret
016417,06/14/2011,106.8034000,-0.003962
016417,06/15/2011,107.2960000,0.004612
016417,06/16/2011,107.4037000,0.001004
016417,06/17/2011,107.2957000,-0.001006
016417,06/20/2011,107.2626000,-0.000308
016417,06/21/2011,107.2323000,-0.000282
016417,06/22/2011,107.2960000,0.000594
016417,06/23/2011,107.5849000,0.002693
016417,06/24/2011,107.6334000,0.000451
016417,06/27/2011,107.3238000,-0.002876
016417,06/28/2011,106.8876000,-0.004064
016417,06/29/2011,106.7617000,-0.001178
016417,06/30/2011,106.6632000,-0.000923
016417,07/01/2011,106.2368000,-0.001152
016417,07/05/2011,106.5557000,0.003002
016417,07/06/2011,106.6911000,0.001271
016417,07/07/2011,106.4500000,-0.002260
016417,07/08/2011,107.0678000,0.005804
016417,07/11/2011,107.3800000,0.002916
016417,07/12/2011,107.4123000,0.000301
016417,07/13/2011,107.5381000,0.001171
016417,07/14/2011,107.3279000,-0.001955
016417,07/15/2011,107.3867000,0.000548
016417,07/18/2011,107.3103000,-0.000711
016417,07/19/2011,107.4446000,0.001252
016417,07/20/2011,107.3037000,-0.001311
016417,07/21/2011,107.0853000,-0.002035
016417,07/22/2011,107.3228000,0.002218
016417,07/25/2011,107.1410000,-0.001694
016417,07/26/2011,107.3828000,0.002257
016417,07/27/2011,107.2218000,-0.001499
